round,pick,overall_pick,player_name,player_id,team_name,season
1,1,1,Eddie Lacy,26684.0,Lambeau Leapers,2015
1,2,2,Marshawn Lynch,8266.0,manning bros,2015
1,3,3,Adrian Peterson,8261.0,A Boy Named Suh,2015
1,4,4,Jamaal Charles,8850.0,The Benchwarmers,2015
1,5,5,Le'Veon Bell,26671.0,Joe Buck Yourself,2015
1,6,6,Antonio Brown,24171.0,The Roethlisburger s,2015
1,7,7,Matt Forte,8821.0,The Thunder Cats,2015
1,8,8,Dez Bryant,23999.0,Hyde your wife,2015
2,1,9,Rob Gronkowski,24017.0,Hyde your wife,2015
2,2,10,Odell Beckham Jr.,27540.0,The Thunder Cats,2015
2,3,11,Demaryius Thomas,23997.0,The Roethlisburger s,2015
2,4,12,Calvin Johnson,8256.0,Joe Buck Yourself,2015
2,5,13,Jeremy Hill,27583.0,The Benchwarmers,2015
2,6,14,Jordy Nelson,8813.0,A Boy Named Suh,2015
2,7,15,LeSean McCoy,9317.0,manning bros,2015
2,8,16,Aaron Rodgers,7200.0,Lambeau Leapers,2015
3,1,17,Randall Cobb,24851.0,Lambeau Leapers,2015
3,2,18,A.J. Green,24791.0,manning bros,2015
3,3,19,Andrew Luck,25711.0,A Boy Named Suh,2015
3,4,20,Russell Wilson,25785.0,The Benchwarmers,2015
3,5,21,DeMarco Murray,24858.0,Joe Buck Yourself,2015
3,6,22,C.J. Anderson,26878.0,The Roethlisburger s,2015
3,7,23,Julio Jones,24793.0,The Thunder Cats,2015
3,8,24,Justin Forsett,9010.0,Hyde your wife,2015
4,1,25,Alshon Jeffery,25755.0,Hyde your wife,2015
4,2,26,Drew Brees,5479.0,The Thunder Cats,2015
4,3,27,Mike Evans,27535.0,The Roethlisburger s,2015
4,4,28,Matthew Stafford,9265.0,Joe Buck Yourself,2015
4,5,29,T.Y. Hilton,25802.0,The Benchwarmers,2015
4,6,30,Melvin Gordon III,28403.0,A Boy Named Suh,2015
4,7,31,Jimmy Graham,24070.0,manning bros,2015
4,8,32,Emmanuel Sanders,24057.0,Lambeau Leapers,2015
5,1,33,Greg Olsen,8285.0,Lambeau Leapers,2015
5,2,34,Peyton Manning,4256.0,manning bros,2015
5,3,35,Andre Johnson,6339.0,A Boy Named Suh,2015
5,4,36,Brandin Cooks,27548.0,The Benchwarmers,2015
5,5,37,DeAndre Hopkins,26650.0,Joe Buck Yourself,2015
5,6,38,Ben Roethlisberger,6770.0,The Roethlisburger s,2015
5,7,39,Lamar Miller,25807.0,The Thunder Cats,2015
5,8,40,Frank Gore,7241.0,Hyde your wife,2015
6,1,41,Jordan Matthews,27570.0,Hyde your wife,2015
6,2,42,Julian Edelman,9496.0,The Thunder Cats,2015
6,3,43,DeSean Jackson,8826.0,The Roethlisburger s,2015
6,4,44,Martellus Bennett,8838.0,Joe Buck Yourself,2015
6,5,45,Brandon Marshall,7868.0,The Benchwarmers,2015
6,6,46,Travis Kelce,26686.0,A Boy Named Suh,2015
6,7,47,Sammy Watkins,27532.0,manning bros,2015
6,8,48,Andre Ellington,26810.0,Lambeau Leapers,2015
7,1,49,Golden Tate,24035.0,Lambeau Leapers,2015
7,2,50,Amari Cooper,28392.0,manning bros,2015
7,3,51,Martavis Bryant,27646.0,A Boy Named Suh,2015
7,4,52,Tony Romo,6624.0,The Benchwarmers,2015
7,5,53,Kelvin Benjamin,27556.0,Joe Buck Yourself,2015
7,6,54,Jason Witten,6405.0,The Roethlisburger s,2015
7,7,55,Teddy Bridgewater,27560.0,The Thunder Cats,2015
7,8,56,Matt Ryan,8780.0,Hyde your wife,2015
8,1,57,Seahawks,,Hyde your wife,2015
8,2,58,Kyle Rudolph,24830.0,The Thunder Cats,2015
8,3,59,Todd Gurley,28398.0,The Roethlisburger s,2015
8,4,60,Mark Ingram II,24815.0,Joe Buck Yourself,2015
8,5,61,Zach Ertz,26658.0,The Benchwarmers,2015
8,6,62,Ameer Abdullah,28442.0,A Boy Named Suh,2015
8,7,63,Joseph Randle,26774.0,manning bros,2015
8,8,64,Keenan Allen,26699.0,Lambeau Leapers,2015
9,1,65,Larry Fitzgerald,6762.0,Lambeau Leapers,2015
9,2,66,Jeremy Maclin,9283.0,manning bros,2015
9,3,67,Mike Wallace,9348.0,A Boy Named Suh,2015
9,4,68,Latavius Murray,26804.0,The Benchwarmers,2015
9,5,69,Julius Thomas,24916.0,Joe Buck Yourself,2015
9,6,70,Philip Rivers,6763.0,The Roethlisburger s,2015
9,7,71,Alfred Morris,25883.0,The Thunder Cats,2015
9,8,72,Connor Barth,9219.0,Hyde your wife,2015
10,1,73,Carlos Hyde,27585.0,Hyde your wife,2015
10,2,74,Steve Smith,5521.0,The Thunder Cats,2015
10,3,75,Roddy White,7203.0,The Roethlisburger s,2015
10,4,76,Tom Brady,5228.0,Joe Buck Yourself,2015
10,5,77,Allen Robinson,27589.0,The Benchwarmers,2015
10,6,78,Cam Newton,24788.0,A Boy Named Suh,2015
10,7,79,Eli Manning,6760.0,manning bros,2015
10,8,80,Bills,,Lambeau Leapers,2015
