week,team_id,team_name,score,season
1,1,A Boy Named Suh,115.52,2015
1,2,The Thunder Cats,115.0,2015
1,3,Hyde your wife,96.52,2015
1,7,The Roethlisburger s,89.64,2015
1,4,Joe Buck Yourself,93.52,2015
1,6,The Benchwarmers,83.54,2015
1,5,Lambeau Leapers,83.36,2015
1,8,manning bros,66.6,2015
2,1,A Boy Named Suh,87.2,2015
2,3,Hyde your wife,84.22,2015
2,2,The Thunder Cats,120.7,2015
2,8,manning bros,83.84,2015
2,4,Joe Buck Yourself,81.44,2015
2,7,The Roethlisburger s,88.06,2015
2,5,Lambeau Leapers,82.26,2015
2,6,The Benchwarmers,87.14,2015
3,1,A Boy Named Suh,98.2,2015
3,4,Joe Buck Yourself,91.12,2015
3,2,The Thunder Cats,107.84,2015
3,3,Hyde your wife,75.1,2015
3,5,Lambeau Leapers,138.52,2015
3,7,The Roethlisburger s,65.68,2015
3,6,The Benchwarmers,90.6,2015
3,8,manning bros,110.46,2015
4,1,A Boy Named Suh,82.24,2015
4,5,Lambeau Leapers,51.16,2015
4,2,The Thunder Cats,94.68,2015
4,4,Joe Buck Yourself,99.76,2015
4,3,Hyde your wife,82.34,2015
4,8,manning bros,58.22,2015
4,6,The Benchwarmers,77.68,2015
4,7,The Roethlisburger s,94.72,2015
5,1,A Boy Named Suh,83.54,2015
5,6,The Benchwarmers,58.52,2015
5,2,The Thunder Cats,135.64,2015
5,5,Lambeau Leapers,76.74,2015
5,3,Hyde your wife,95.66,2015
5,4,Joe Buck Yourself,103.5,2015
5,7,The Roethlisburger s,83.3,2015
5,8,manning bros,65.64,2015
6,1,A Boy Named Suh,105.12,2015
6,7,The Roethlisburger s,97.62,2015
6,2,The Thunder Cats,108.84,2015
6,6,The Benchwarmers,101.34,2015
6,3,Hyde your wife,102.5,2015
6,5,Lambeau Leapers,85.5,2015
6,4,Joe Buck Yourself,143.68,2015
6,8,manning bros,70.1,2015
7,1,A Boy Named Suh,136.52,2015
7,8,manning bros,111.88,2015
7,2,The Thunder Cats,76.2,2015
7,7,The Roethlisburger s,122.94,2015
7,3,Hyde your wife,73.84,2015
7,6,The Benchwarmers,69.9,2015
7,4,Joe Buck Yourself,106.3,2015
7,5,Lambeau Leapers,77.8,2015
8,1,A Boy Named Suh,90.84,2015
8,2,The Thunder Cats,134.16,2015
8,3,Hyde your wife,98.38,2015
8,7,The Roethlisburger s,86.54,2015
8,4,Joe Buck Yourself,102.14,2015
8,6,The Benchwarmers,78.1,2015
8,5,Lambeau Leapers,73.88,2015
8,8,manning bros,98.12,2015
9,1,A Boy Named Suh,138.22,2015
9,3,Hyde your wife,109.82,2015
9,2,The Thunder Cats,89.18,2015
9,8,manning bros,108.58,2015
9,4,Joe Buck Yourself,88.06,2015
9,7,The Roethlisburger s,94.3,2015
9,5,Lambeau Leapers,129.86,2015
9,6,The Benchwarmers,52.1,2015
10,1,A Boy Named Suh,92.08,2015
10,4,Joe Buck Yourself,76.56,2015
10,2,The Thunder Cats,91.92,2015
10,3,Hyde your wife,84.94,2015
10,5,Lambeau Leapers,101.12,2015
10,7,The Roethlisburger s,124.36,2015
10,6,The Benchwarmers,88.2,2015
10,8,manning bros,89.48,2015
11,1,A Boy Named Suh,80.96,2015
11,5,Lambeau Leapers,60.28,2015
11,2,The Thunder Cats,84.98,2015
11,4,Joe Buck Yourself,142.38,2015
11,3,Hyde your wife,65.2,2015
11,8,manning bros,88.84,2015
11,6,The Benchwarmers,98.6,2015
11,7,The Roethlisburger s,78.22,2015
12,1,A Boy Named Suh,125.72,2015
12,6,The Benchwarmers,119.4,2015
12,2,The Thunder Cats,75.44,2015
12,5,Lambeau Leapers,50.08,2015
12,3,Hyde your wife,63.4,2015
12,4,Joe Buck Yourself,116.9,2015
12,7,The Roethlisburger s,57.84,2015
12,8,manning bros,112.92,2015
13,1,A Boy Named Suh,96.14,2015
13,7,The Roethlisburger s,123.96,2015
13,2,The Thunder Cats,108.54,2015
13,6,The Benchwarmers,142.66,2015
13,3,Hyde your wife,53.86,2015
13,5,Lambeau Leapers,91.52,2015
13,4,Joe Buck Yourself,97.38,2015
13,8,manning bros,110.14,2015
14,1,A Boy Named Suh,60.06,2015
14,6,The Benchwarmers,85.98,2015
14,2,The Thunder Cats,117.9,2015
14,3,Hyde your wife,63.66,2015
14,4,Joe Buck Yourself,121.94,2015
14,5,Lambeau Leapers,79.82,2015
14,7,The Roethlisburger s,88.28,2015
14,8,manning bros,89.5,2015
15,2,The Thunder Cats,130.06,2015
15,4,Joe Buck Yourself,88.18,2015
15,6,The Benchwarmers,111.46,2015
15,8,manning bros,121.9,2015
15,1,A Boy Named Suh,83.76,2015
15,7,The Roethlisburger s,130.7,2015
15,3,Hyde your wife,90.34,2015
15,5,Lambeau Leapers,59.26,2015
16,2,The Thunder Cats,86.5,2015
16,8,manning bros,81.58,2015
16,1,A Boy Named Suh,86.74,2015
16,5,Lambeau Leapers,53.04,2015
16,3,Hyde your wife,52.44,2015
16,7,The Roethlisburger s,75.3,2015
16,4,Joe Buck Yourself,115.74,2015
16,6,The Benchwarmers,136.36,2015
1,1,Hingle McCringlebery,111.4,2016
1,2,Hyde your wife,127.6,2016
1,3,Joe Buck Yourself,83.26,2016
1,7,The Roethlisburger s,104.16,2016
1,4,Lambeau Leapers,97.78,2016
1,6,The Benchwarmers,99.82,2016
1,5,manning bros,93.06,2016
1,8,The Thunder Cats,102.62,2016
2,1,Hingle McCringlebery,105.76,2016
2,3,Joe Buck Yourself,124.86,2016
2,2,Hyde your wife,81.08,2016
2,8,The Thunder Cats,92.36,2016
2,4,Lambeau Leapers,97.72,2016
2,7,The Roethlisburger s,115.92,2016
2,5,manning bros,94.52,2016
2,6,The Benchwarmers,98.0,2016
3,1,Hingle McCringlebery,117.28,2016
3,4,Lambeau Leapers,72.5,2016
3,2,Hyde your wife,92.14,2016
3,3,Joe Buck Yourself,103.36,2016
3,5,manning bros,113.0,2016
3,7,The Roethlisburger s,95.98,2016
3,6,The Benchwarmers,121.22,2016
3,8,The Thunder Cats,146.34,2016
4,1,Hingle McCringlebery,126.4,2016
4,5,manning bros,120.62,2016
4,2,Hyde your wife,108.06,2016
4,4,Lambeau Leapers,118.34,2016
4,3,Joe Buck Yourself,96.66,2016
4,8,The Thunder Cats,69.78,2016
4,6,The Benchwarmers,78.22,2016
4,7,The Roethlisburger s,57.7,2016
5,1,Hingle McCringlebery,129.1,2016
5,6,The Benchwarmers,106.6,2016
5,2,Hyde your wife,93.48,2016
5,5,manning bros,77.56,2016
5,3,Joe Buck Yourself,108.18,2016
5,4,Lambeau Leapers,110.74,2016
5,7,The Roethlisburger s,100.26,2016
5,8,The Thunder Cats,84.32,2016
6,1,Hingle McCringlebery,74.66,2016
6,7,The Roethlisburger s,85.68,2016
6,2,Hyde your wife,104.48,2016
6,6,The Benchwarmers,120.2,2016
6,3,Joe Buck Yourself,75.3,2016
6,5,manning bros,78.36,2016
6,4,Lambeau Leapers,102.14,2016
6,8,The Thunder Cats,80.6,2016
7,1,Hingle McCringlebery,75.34,2016
7,8,The Thunder Cats,99.68,2016
7,2,Hyde your wife,95.72,2016
7,7,The Roethlisburger s,96.22,2016
7,3,Joe Buck Yourself,83.3,2016
7,6,The Benchwarmers,74.14,2016
7,4,Lambeau Leapers,127.28,2016
7,5,manning bros,110.14,2016
8,1,Hingle McCringlebery,117.3,2016
8,2,Hyde your wife,90.02,2016
8,3,Joe Buck Yourself,102.82,2016
8,7,The Roethlisburger s,65.38,2016
8,4,Lambeau Leapers,128.8,2016
8,6,The Benchwarmers,73.9,2016
8,5,manning bros,95.04,2016
8,8,The Thunder Cats,93.3,2016
9,1,Hingle McCringlebery,94.84,2016
9,3,Joe Buck Yourself,137.38,2016
9,2,Hyde your wife,88.86,2016
9,8,The Thunder Cats,128.22,2016
9,4,Lambeau Leapers,73.18,2016
9,7,The Roethlisburger s,99.5,2016
9,5,manning bros,121.58,2016
9,6,The Benchwarmers,85.16,2016
10,1,Hingle McCringlebery,125.02,2016
10,4,Lambeau Leapers,84.94,2016
10,2,Hyde your wife,73.38,2016
