rank,team_id,team_name,wins,losses,ties,points_for,points_against,streak,waiver_budget,waiver_priority,moves,season
1,2,The Thunder Cats,7,6,0,1343.12,1294.72,L-1,5,13,,2015
2,8,manning bros,7,6,0,1174.82,1212.18,W-6,4,13,,2015
3,6,The Benchwarmers,3,10,0,1147.78,1281.14,W-1,1,-,,2015
4,4,Joe Buck Yourself,8,5,0,1342.74,1131.04,L-1,8,21,,2015
5,7,The Roethlisburger s,7,6,0,1207.18,1236.34,W-1,2,5,,2015
6,3,Hyde your wife,5,8,0,1085.78,1215.74,L-5,6,13,,2015
7,1,A Boy Named Suh,11,2,0,1332.3,1233.7,L-1,3,21,,2015
8,5,Lambeau Leapers,4,9,0,1102.08,1130.94,W-1,7,13,,2015
1,8,The Thunder Cats,6,7,0,1252.98,1273.0,L-1,5,9,,2016
2,2,Hyde your wife,3,10,0,1198.54,1334.98,L-3,8,15,,2016
3,1,Hingle McCringlebery,5,8,0,1386.78,1363.38,L-3,7,22,,2016
4,4,Lambeau Leapers,7,6,0,1307.02,1310.34,W-1,3,10,,2016
5,7,The Roethlisburger s,7,6,0,1196.74,1232.22,W-1,1,4,,2016
6,6,The Benchwarmers,8,5,0,1287.84,1301.02,W-4,4,6,,2016
7,5,manning bros,8,5,0,1328.84,1276.8,W-6,6,10,,2016
8,3,Joe Buck Yourself,8,5,0,1263.48,1130.48,L-1,2,26,,2016
1,8,Thunder Cats,6,7,0,1134.64,1152.84,L-3,8,21,,2017
2,6,Starting Defense,7,6,0,1285.92,1214.32,W-3,1,11,,2017
3,3,Joe Buck Yourself,8,5,0,1225.7,1177.22,W-3,10,45,,2017
4,4,Lambeau Leapers,6,7,0,1118.52,1114.58,L-1,3,28,,2017
5,10,Talladega Knights,10,3,0,1298.28,1101.98,L-1,7,25,,2017
6,7,The Roethlisburger s,8,5,0,1274.36,1213.6,W-1,2,12,,2017
7,5,King of the Hill,7,6,0,1113.82,1110.66,L-2,9,23,,2017
8,9,Jackson's Team,7,6,0,1104.88,1169.1,L-1,4,22,,2017
9,1,Hingle McCringlebery,5,8,0,1175.42,1228.56,W-1,5,56,,2017
10,2,Frank The Tank,1,12,0,1086.7,1335.38,W-1,6,24,,2017
1,1,Hingle McCringlebery,10,3,0,1741.64,1435.82,L-1,8,23,,2018
2,3,Hingle Handlers,6,7,0,1455.1,1462.2,L-4,9,56,,2018
3,7,Starting Defense,6,7,0,1457.9,1411.14,W-1,7,22,,2018
4,2,Brokaw's Bums,6,7,0,1444.8,1598.3,W-2,5,15,,2018
5,9,The Roethlisburger s,9,4,0,1579.16,1428.6,W-1,1,17,,2018
6,8,Talladega Knights,5,8,0,1427.4,1523.88,L-1,6,30,,2018
7,4,Joe Buck Yourself,8,5,0,1621.14,1657.82,L-3,4,46,,2018
8,5,King of the Hill,9,4,0,1511.14,1370.06,W-2,10,26,,2018
9,10,Thunder Cats,4,9,0,1411.06,1531.16,W-4,3,15,,2018
10,6,Lambeau Leapers,2,11,0,1319.46,1549.82,L-2,2,14,,2018
1,4,Joe Buck Yourself,8,5,0,1456.72,1347.1,L-1,10,53,,2019
2,10,The Cousin Lovers,7,6,0,1368.06,1421.22,W-2,9,42,,2019
3,6,Lambeau Leapers,8,5,0,1550.46,1348.86,W-3,2,9,,2019
4,1,Hingle McCringlebery,5,8,0,1477.96,1494.84,W-1,7,29,,2019
5,5,Patrick Mahomes,9,4,0,1565.12,1399.3,L-1,4,36,,2019
6,8,Talladega Knights,6,7,0,1355.18,1396.24,W-1,6,29,,2019
7,3,Jackson's Team,8,5,0,1550.02,1493.72,L-1,5,25,,2019
8,2,Brokaw's Bums,8,5,0,1336.04,1402.04,W-1,8,17,,2019
9,9,The Roethlisburger s,3,10,0,1429.66,1590.62,L-4,3,23,,2019
10,7,Starting Defense,3,10,0,1320.94,1516.22,L-5,1,10,,2019
