trade_id,completed,note,team_id,team_name,players_received,timestamp,season
1,False,Vetoed Trade to,1,Shock the Nation,Eddie Lacy,"Oct 9, 8:36 pm",2014
1,False,Vetoed Trade to,2,The Football Team,Golden Tate,"Oct 9, 8:36 pm",2014
1,True,Traded to,8,manning bros,Antonio Brown,"Dec 29, 4:47 am",2015
1,True,Traded to,7,The Roethlisburger s,Martavis Bryant,"Dec 29, 4:47 am",2015
2,True,Traded to,3,Hyde your wife,James Jones,"Dec 18, 4:04 am",2015
2,True,Traded to,4,Joe Buck Yourself,Rob Gronkowski,"Dec 18, 4:04 am",2015
3,False,Vetoed Trade to,8,manning bros,Emmanuel Sanders; Golden Tate; Randall Cobb; Michael Floyd,"Dec 14, 11:06 pm",2015
3,False,Vetoed Trade to,5,Lambeau Leapers,Amari Cooper,"Dec 14, 11:06 pm",2015
4,True,Traded to,5,Lambeau Leapers,Marshawn Lynch,"Aug 16, 4:35 pm",2015
4,True,Traded to,8,manning bros,Eddie Lacy,"Aug 16, 4:35 pm",2015
1,True,Traded to,1,Hingle McCringlebery,T.Y. Hilton,"Nov 2, 6:20 am",2016
1,True,Traded to,5,manning bros,Todd Gurley,"Nov 2, 6:20 am",2016
2,True,Traded to,3,Joe Buck Yourself,C.J. Anderson,"Oct 27, 11:08 am",2016
2,True,Traded to,4,Lambeau Leapers,Jamaal Charles,"Oct 27, 11:08 am",2016
3,True,Traded to,6,The Benchwarmers,Golden Tate,"Oct 16, 9:45 am",2016
3,True,Traded to,7,The Roethlisburger s,Jordy Nelson,"Oct 16, 9:45 am",2016
4,True,Traded to,7,The Roethlisburger s,Martellus Bennett,"Oct 8, 8:18 pm",2016
4,True,Traded to,6,The Benchwarmers,Ryan Mathews,"Oct 8, 8:18 pm",2016
5,True,Traded to,7,The Roethlisburger s,Golden Tate; Ryan Mathews,"Oct 6, 3:05 pm",2016
5,True,Traded to,6,The Benchwarmers,Martellus Bennett; Jordy Nelson,"Oct 6, 3:05 pm",2016
1,True,Traded to,5,King of the Hill,Doug Martin,"Dec 7, 10:20 pm",2017
1,True,Traded to,4,Lambeau Leapers,Jared Cook,"Dec 7, 10:20 pm",2017
2,True,Traded to,2,Frank The Tank,Carlos Hyde; Alfred Morris,"Dec 7, 10:18 pm",2017
2,True,Traded to,5,King of the Hill,Jordan Howard,"Dec 7, 10:18 pm",2017
3,True,Traded to,2,Frank The Tank,Ty Montgomery II,"Dec 7, 10:17 pm",2017
3,True,Traded to,6,Starting Defense,Justin Tucker,"Dec 7, 10:17 pm",2017
4,True,Traded to,1,Hingle McCringlebery,,"Dec 6, 9:55 am",2017
4,True,Traded to,9,Jackson's Team,Ravens; Leonard Fournette; Marshawn Lynch,"Dec 6, 9:55 am",2017
5,True,Traded to,6,Starting Defense,Greg Zuerlein,"Dec 6, 9:49 am",2017
5,True,Traded to,1,Hingle McCringlebery,Marshawn Lynch,"Dec 6, 9:49 am",2017
6,True,Traded to,2,Frank The Tank,,"Dec 5, 7:28 am",2017
6,True,Traded to,7,The Roethlisburger s,Nelson Agholor; Tevin Coleman,"Dec 5, 7:28 am",2017
7,True,Traded to,3,Joe Buck Yourself,Alex Collins,"Nov 14, 6:40 am",2017
7,True,Traded to,10,Talladega Knights,Tyrod Taylor,"Nov 14, 6:40 am",2017
8,True,Traded to,2,Frank The Tank,Eagles,"Nov 14, 6:40 am",2017
8,True,Traded to,10,Talladega Knights,Lions,"Nov 14, 6:40 am",2017
9,True,Traded to,10,Talladega Knights,Alex Collins,"Nov 9, 3:22 pm",2017
9,True,Traded to,3,Joe Buck Yourself,Tyrod Taylor,"Nov 9, 3:22 pm",2017
10,True,Traded to,10,Talladega Knights,Austin Seferian-Jenkins; Todd Gurley,"Nov 9, 12:06 pm",2017
10,True,Traded to,3,Joe Buck Yourself,Travis Kelce; Alex Collins,"Nov 9, 12:06 pm",2017
11,True,Traded to,3,Joe Buck Yourself,Austin Seferian-Jenkins; Todd Gurley,"Nov 9, 10:55 am",2017
11,True,Traded to,10,Talladega Knights,Travis Kelce; Alex Collins,"Nov 9, 10:55 am",2017
12,True,Traded to,1,Hingle McCringlebery,Charles Clay; Adrian Peterson,"Nov 8, 9:45 am",2017
12,True,Traded to,5,King of the Hill,Hunter Henry; Michael Thomas; Kenyan Drake,"Nov 8, 9:45 am",2017
13,True,Traded to,2,Frank The Tank,Lions,"Nov 7, 11:32 am",2017
13,True,Traded to,10,Talladega Knights,Eagles,"Nov 7, 11:32 am",2017
14,True,Traded to,1,Hingle McCringlebery,A.J. Green,"Nov 3, 3:19 pm",2017
14,True,Traded to,5,King of the Hill,Latavius Murray,"Nov 3, 3:19 pm",2017
15,True,Traded to,5,King of the Hill,A.J. Green,"Nov 3, 12:04 pm",2017
15,True,Traded to,1,Hingle McCringlebery,Latavius Murray,"Nov 3, 12:04 pm",2017
16,True,Traded to,7,The Roethlisburger s,Marcus Mariota; T.Y. Hilton,"Nov 2, 11:03 pm",2017
16,True,Traded to,9,Jackson's Team,Keenan Allen; Derrick Henry,"Nov 2, 11:03 pm",2017
17,True,Traded to,1,Hingle McCringlebery,LeGarrette Blount; Michael Thomas; A.J. Green,"Oct 27, 11:38 am",2017
17,True,Traded to,8,Thunder Cats,Will Fuller V; Devonta Freeman,"Oct 27, 11:38 am",2017
18,True,Traded to,10,Talladega Knights,Mohamed Sanu; DeAndre Hopkins; Javorius Allen,"Oct 25, 6:57 pm",2017
18,True,Traded to,2,Frank The Tank,Jordan Howard; Nelson Agholor,"Oct 25, 6:57 pm",2017
19,True,Traded to,5,King of the Hill,Emmanuel Sanders; Jay Ajayi,"Oct 25, 6:53 pm",2017
19,True,Traded to,9,Jackson's Team,T.Y. Hilton,"Oct 25, 6:53 pm",2017
20,True,Traded to,5,King of the Hill,Jordy Nelson; DeMarco Murray,"Oct 24, 11:12 am",2017
20,True,Traded to,9,Jackson's Team,Alshon Jeffery,"Oct 24, 11:12 am",2017
21,True,Traded to,3,Joe Buck Yourself,Rishard Matthews; Melvin Gordon III; Mark Ingram II; Martellus Bennett; Demaryius Thomas,"Oct 24, 7:35 am",2017
21,True,Traded to,9,Jackson's Team,Emmanuel Sanders; Greg Olsen; Jay Ajayi; Jordy Nelson; DeMarco Murray,"Oct 24, 7:35 am",2017
22,True,Traded to,10,Talladega Knights,Alvin Kamara,"Oct 24, 6:07 am",2017
22,True,Traded to,4,Lambeau Leapers,David Johnson,"Oct 24, 6:07 am",2017
23,True,Traded to,2,Frank The Tank,Kelvin Benjamin,"Oct 22, 10:13 pm",2017
23,True,Traded to,4,Lambeau Leapers,Carson Wentz,"Oct 22, 10:13 pm",2017
24,True,Traded to,9,Jackson's Team,Demaryius Thomas; Rishard Matthews; Mark Ingram II; Donte Moncrief,"Oct 20, 1:13 pm",2017
24,True,Traded to,6,Starting Defense,Julio Jones; LeSean McCoy,"Oct 20, 1:13 pm",2017
25,True,Traded to,5,King of the Hill,T.Y. Hilton; Carlos Hyde; Tevin Coleman,"Oct 20, 10:40 am",2017
25,True,Traded to,10,Talladega Knights,Danny Amendola; Todd Gurley,"Oct 20, 10:40 am",2017
1,True,Traded to,9,Jackson's Team,Melvin Gordon III; Terrelle Pryor Sr.; Jarvis Landry; Chris Thompson,"Oct 18, 10:38 pm",2017
1,True,Traded to,2,Frank The Tank,C.J. Anderson; DeAndre Hopkins,"Oct 18, 10:38 pm",2017
2,True,Traded to,1,Hingle McCringlebery,Hunter Henry; Doug Baldwin,"Oct 13, 3:18 pm",2017
2,True,Traded to,10,Talladega Knights,Austin Seferian-Jenkins; Nelson Agholor; David Johnson,"Oct 13, 3:18 pm",2017
3,True,Traded to,6,Starting Defense,Donte Moncrief; Dez Bryant,"Oct 11, 11:40 am",2017
3,True,Traded to,3,Joe Buck Yourself,Sterling Shepard; Duke Johnson,"Oct 11, 11:40 am",2017
4,True,Traded to,3,Joe Buck Yourself,Dez Bryant; Donte Moncrief,"Oct 6, 4:57 pm",2017
4,True,Traded to,6,Starting Defense,Sterling Shepard; Duke Johnson,"Oct 6, 4:57 pm",2017
5,True,Traded to,4,Lambeau Leapers,Doug Martin; Ted Ginn Jr.,"Oct 5, 8:25 pm",2017
5,True,Traded to,9,Jackson's Team,C.J. Anderson,"Oct 5, 8:25 pm",2017
6,True,Traded to,10,Talladega Knights,Doug Baldwin; Martellus Bennett; Jordan Howard; Brandon Marshall,"Oct 5, 10:30 am",2017
6,True,Traded to,7,The Roethlisburger s,DeVante Parker; Bilal Powell; Jimmy Graham; Randall Cobb,"Oct 5, 10:30 am",2017
7,True,Traded to,1,Hingle McCringlebery,Nelson Agholor; Devonta Freeman,"Oct 5, 9:25 am",2017
7,True,Traded to,5,King of the Hill,Tyreek Hill; Frank Gore,"Oct 5, 9:25 am",2017
8,True,Traded to,2,Frank The Tank,Chris Thompson; Golden Tate,"Oct 3, 11:25 am",2017
8,True,Traded to,8,Thunder Cats,A.J. Green; Kenny Golladay,"Oct 3, 11:25 am",2017
9,True,Traded to,10,Talladega Knights,Tevin Coleman; Randall Cobb,"Oct 3, 6:20 am",2017
9,True,Traded to,3,Joe Buck Yourself,Jay Ajayi,"Oct 3, 6:20 am",2017
10,True,Traded to,8,Thunder Cats,LeGarrette Blount; Larry Fitzgerald,"Oct 3, 6:18 am",2017
10,True,Traded to,9,Jackson's Team,Julio Jones,"Oct 3, 6:18 am",2017
11,True,Traded to,5,King of the Hill,Nelson Agholor; Todd Gurley,"Sep 15, 5:04 pm",2017
11,True,Traded to,3,Joe Buck Yourself,Jordy Nelson; Ameer Abdullah,"Sep 15, 5:04 pm",2017
12,True,Traded to,1,Hingle McCringlebery,Austin Hooper,"Sep 13, 11:01 am",2017
12,True,Traded to,3,Joe Buck Yourself,Jordan Reed; Nelson Agholor,"Sep 13, 11:01 am",2017
13,True,Traded to,3,Joe Buck Yourself,Emmanuel Sanders,"Aug 13, 3:46 pm",2017
13,True,Traded to,10,Talladega Knights,DeVante Parker,"Aug 13, 3:46 pm",2017
14,True,Traded to,7,The Roethlisburger s,,"Aug 12, 2:23 pm",2017
14,True,Traded to,2,Frank The Tank,,"Aug 12, 2:23 pm",2017
15,True,Traded to,7,The Roethlisburger s,,"Aug 12, 2:22 pm",2017
15,True,Traded to,2,Frank The Tank,,"Aug 12, 2:22 pm",2017
16,True,Traded to,5,King of the Hill,Julian Edelman; Adrian Peterson,"Aug 12, 1:07 pm",2017
16,True,Traded to,4,Lambeau Leapers,Christian McCaffrey,"Aug 12, 1:07 pm",2017
